codigo;codigo_cor;cor;quant
336009;0002;0002 - PRETO;24
336009;0036;0036 - OFF-WHITE;16
338001;0002;0002 - PRETO;3
338001;0036;0036 - OFF-WHITE;4
338002;0002;0002 - PRETO;14
338002;0036;0036 - OFF-WHITE;7
338003;0002;0002 - PRETO;3
338003;0036;0036 - OFF-WHITE;3
338004;0002;0002 - PRETO;5
338005;0002;0002 - PRETO;7
338007;0002;0002 - PRETO;3
338007;0036;0036 - OFF-WHITE;3
338009;0002;0002 - PRETO;3
338009;0036;0036 - OFF-WHITE;3
338010;0002;0002 - PRETO;1
338010;0036;0036 - OFF-WHITE;1
338011;0002;0002 - PRETO;4
