codigo;interno;colecao;subcolecao;sigla;referencia;descricao;tipo;grupo;departamento;marca;divisao;categoria;status;grade;fornecedor;cadastro
335034;41702;INVERNO;2027;AW27;335034;335034 - BLUSA GOLA ALTA TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2026-09-01
219073;21873;INVERNO;2026;AW26;219073;219073 - BLUSA GOLA ALTA TRICOT LÃ;;TOP;BLUSA;EGREY;;PROPRIA;;PP/P/M/G/GG;;2025-09-19
332041;21779;INVERNO;2026;AW26;332041;332041 - BLUSA GOLA AMPLA VELUDO;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;UNICA;;2025-09-16
316009;10305;VERÃO;;;316009PRE;316009 - BLUSA GOLA ATENA;;;CAMISA;;;;;PP/P/M/G/GG/EXG/EGG/EEGG;;2024-10-21
332010;21751;INVERNO;2026;AW26;332010;332010 - BLUSA GOLA BOTÕES TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2025-09-16
00052;58;INVERNO;2010;AW10;160027;00052 - BLUSA GOLA CANOA BÁSICA;;;;;;;;GRADE P M GG;;2010-06-03
317069;10883;VERÃO;;;317069MAR;317069 - BLUSA GOLA CARECA PREGA COSTAS;;;CAMISA;;;;;PP/P/M/G/GG/EXG/EGG/EEGG;;2024-10-21
0031;1617;VERÃO;;;0031;0031 - BLUSA GOLA CARECA PUNHO;;TOP;TOP;KORDA;MASCULINO;;;GRADE P M GG;;2012-06-13
329097;854;INVERNO;;;329097;329097 - BLUSA GOLA LAÇO;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-15
313121;10769;VERÃO;;;313121;313121 - BLUSA GOLA LAÇO EYES;;;CAMISA;;;;;34/36/38/40/42/44/46/48;;2024-10-21
313114;11855;VERÃO;;;313114;313114 - BLUSA GOLA LAÇO LYS;;;CAMISA;;;;;34/36/38/40/42/44/46/48;;2024-10-21
313113;11856;VERÃO;;;313113MAR;313113 - BLUSA GOLA LAÇO ZEBRA;;;CAMISA;;;;;34 AO 48;;2024-10-21
020863;21899;INVERNO;2026;AW26;332052;020863 - BLUSA GOLA LENÇO CASHMERE;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2025-10-03
00042;46;INVERNO;2010;AW10;11005;00042 - BLUSA GOLA MEDIEVAL;;;MASCULINO;;MASCULINO;;;GRADE P M GG;;2010-06-03
00046;50;INVERNO;2010;AW10;140014;00046 - BLUSA GOLA PATAGÔNIA;;;FEMININO;;FEMININO;;;GRADE P M GG;;2010-06-03
326067;12475;INVERNO;;;326067;326067 - BLUSA GOLA SEDA;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-21
332052;21787;INVERNO;2026;AW26;332052;332052 - BLUSA GOLA V CASHMERE;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2025-09-16
332071;21907;INVERNO;2026;AW26;332071;332071 - BLUSA GOLA V CURTA TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2025-10-06
328114;12837;VERÃO;;;328114;328114 - BLUSA GOLA V TRICOT;;TOP;TOP;EGREY;;;;PP/P/M/G/GG;;2024-10-25
317058;10357;VERÃO;;;317058OFF;317058 - BLUSA GOLA ZíPER;;;CAMISA;;;;;PP/P/M/G/GG/EXG/EGG/EEGG;;2024-10-21
TE000021;547;VERÃO;2011;SS11;TE000021;TE000021 - BLUSA HEART;;TOP;TOP;THELURE;FEMININO;;;PP/P/M/G/GG;;2011-04-26
000263;255;ALTO INVERNO;2010;AW10;;000263 - BLUSA HIPS;;TOP;TOP;;FEMININO;;;UNICA;;2010-11-12
PN00014;629;ALTO INVERNO;2011;AW11;PJE01-230-14;PN00014 - BLUSA I;;TOP;TOP;PRETORIAN;FEMININO;;;PP/P/M/G/GG;;2011-05-30
PN00016;633;ALTO INVERNO;2011;AW11;PJE01-230-16;PN00016 - BLUSA II;;TOP;TOP;PRETORIAN;FEMININO;;;PP/P/M/G/GG;;2011-05-30
PN00017;635;ALTO INVERNO;2011;AW11;PJE01-230-17;PN00017 - BLUSA III;;TOP;TOP;PRETORIAN;FEMININO;;;PP/P/M/G/GG;;2011-05-30
314140;9911;VERÃO;;;314140MAN;314140 - BLUSA INES BETA;;;CAMISA;;;;;34 AO 48;;2024-10-21
316002;10291;VERÃO;;;316002PRE;316002 - BLUSA IRIS;;;CAMISA;;;;;PP/P/M/G/GG/EXG/EGG/EEGG;;2024-10-21
328110;12985;VERÃO;;;328110;328110 - BLUSA JERSEY DRAPEADA;;;;EGREY;;;;34/36/38/40/42/44/46/48;;2024-11-06
335032;41701;INVERNO;2027;AW27;335032;335032 - BLUSA JUSTA BOTÕES TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2026-09-01
302014;1869;INVERNO;;;302014;302014 - BLUSA KIEV;;TOP;TOP;EGREY;FEMININO;;;PP/P/M/G/GG;;2012-10-12
00016;14;INVERNO;2010;AW10;130012;00016 - BLUSA L.A;;;;;;;;GRADE P M GG;;2010-06-02
328091;780;VERÃO;2024;SS24;328091;328091 - BLUSA LAÇO;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-15
335021;41697;INVERNO;2027;AW27;335021;335021 - BLUSA LENÇO TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2026-09-01
332061;21884;INVERNO;2026;AW26;332061;332061 - BLUSA LEVE AMARRAÇÃO;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2025-09-22
334091;41368;VERÃO;2027;SS27;334091;334091 - BLUSA LEVE DELHI;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-03-20
338005;41242;VERÃO;2027;SS27;338005;338005 - BLUSA LEVE ML DETALHE ANEMÔNAS;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-02-23
334141;41466;VERÃO;2027;SS27;334141;334141 - BLUSA LEVE SEDA;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-04-14
335073;41719;INVERNO;2027;AW27;335073;335073 - BLUSA LEVE SEDA E ALGODÃO;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-09-02
334028;41190;VERÃO;2027;SS27;334028;334028 - BLUSA LEVE SMOKING;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;34/36/38/40/42/44/46/48;;2026-02-18
326052;296;INVERNO;;;326052;326052 - BLUSA LIGHT;;TOP;FEMININO;EGREY;FEMININO;;;PP/P/M/G/GG;;2024-10-14
326051;642;INVERNO;;;326051;326051 - BLUSA LIGHT BOTÕES;;TOP;FEMININO;EGREY;FEMININO;;;PP/P/M/G/GG;;2024-10-15
326053;644;INVERNO;;;326053;326053 - BLUSA LIGHT DECOTE U;;TOP;FEMININO;EGREY;FEMININO;;;PP/P/M/G/GG;;2024-10-15
332020;21761;INVERNO;2026;AW26;332020;332020 - BLUSA LIGHT NEW;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2025-09-16
317135;10417;VERÃO;;;317135AZU;317135 - BLUSA LILI;;;CAMISA;;;;;34 AO 48;;2024-10-21
315114;10201;VERÃO;;;315114;315114 - BLUSA LISA FENDA;;;CAMISA;;;;;34/36/38/40/42/44/46/48;;2024-10-21
315115;10024;VERÃO;;;315115;315115 - BLUSA LISA OMBRO SÓ;;;CAMISA;;;;;34/36/38/40/42/44/46/48;;2024-10-21
315142;10026;VERÃO;;;315142;315142 - BLUSA LISA PREGA COSTAS;;;CAMISA;;;;;34/36/38/40/42/44/46/48;;2024-10-21
313245;10743;VERÃO;;;313245AZU;313245 - BLUSA LISTRADA DE CAPUZ;;;CAMISA;;;;;34 AO 48;;2024-10-21
TRIX 002;1281;INVERNO;;;TRIX 002;TRIX 002 - BLUSA LISTRADA RAYON COM LÃ;;TOP;TOP;TRIX;FEMININO;;;GRADE P M GG;;2012-01-24
EY0028;283;INVERNO;;;;EY0028 - BLUSA LISTRAS;;TOP;TOP;;FEMININO;;;GRADE P M GG;;2010-12-06
334018;41147;VERÃO;2027;SS27;334018;334018 - BLUSA LISTRAS AMPLA 3/4 TRICOT;;TOP;BLUSA;EGREY;FEMININO;PROPRIA;;PP/P/M/G/GG;;2026-02-04
00017;16;INVERNO;2010;AW10;130011;00017 - BLUSA LISTRAS L.A;;;;;;;;GRADE P M GG;;2010-06-02
00106;77;INDEF - INDEFINIDO;2010;;;00106 - BLUSA LISTRAS PAULA;;;;;;;;UNICA;;2010-07-21
331008;21545;VERÃO;;;331008;331008 - BLUSA LOTO GLÓRIA KALIL;;TOP;FEMININO;GK PARA EGREY;FEMININO;;;PP/P/M/G/GG;;2025-05-05
00299;343;INVERNO;;;TA000003;00299 - BLUSA LTRAS TRANSP;;TOP;TOP;TECA;FEMININO;;;GRADE P M GG;;2010-12-22
331012;21546;VERÃO;;;331012;331012 - BLUSA LUA GLÓRIA KALIL;;TOP;FEMININO;GK PARA EGREY;FEMININO;;;PP/P/M/G/GG;;2025-05-05
EY0020;395;INVERNO;;;;EY0020 - BLUSA LUREX;;TOP;TOP;;FEMININO;;;GRADE P M GG;MINAS LÃ COMÉRCIO DE FIOS LTDA.;2011-01-13
323028;12130;INVERNO;;;323028;323028 - BLUSA LUREX ASSIMÉTRICA;;TOP;FEMININO;EGREY;FEMININO;;;34/36/38/40/42/44/46/48;;2024-10-21
